Letters,Words,Islands,Doublets,Longest,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
2,107,0,0,6,107,107,107,67,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1085,5,0,11,1080,1080,1080,1080,1080,1080,933,218,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4247,70,19,18,4177,4158,4150,4150,4150,4150,4150,4150,4150,4148,4117,3943,3127,1564,305,51,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9476,803,288,29,8673,8385,8282,8240,8210,8181,8169,8159,8148,8142,8142,8142,8142,8142,8142,8120,7489,6206,4409,2460,1140,529,250,124,61,31,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16706,3494,1774,48,13212,11438,10676,10248,9955,9790,9675,9601,9558,9537,9515,9501,9492,9487,9487,9487,9487,9487,9487,9487,9487,9487,9487,9487,9485,9480,9463,9393,9237,8841,7973,6616,5023,3734,2676,1793,1213,800,515,327,219,140,86,45,21,12,3,,,,,,,,,,
7,25473,8442,4204,58,17031,12827,10987,9988,9474,9192,9048,8948,8884,8833,8790,8764,8728,8697,8672,8650,8630,8612,8593,8582,8577,8574,8574,8574,8574,8574,8574,8574,8574,8574,8574,8553,8452,8177,7749,7255,6766,6296,5801,5374,4957,4317,3380,2361,1657,1212,911,702,548,418,309,205,118,60,34,15,5
8,31736,14716,6966,44,17020,10054,7159,5801,5042,4604,4283,4051,3878,3731,3575,3437,3314,3162,2938,2666,2408,2167,1936,1700,1504,1368,1279,1217,1177,1144,1117,1089,1058,1016,963,892,805,697,555,407,244,135,69,32,15,7,3,,,,,,,,,,,,,,
9,31229,18195,7673,28,13034,5361,2552,1526,1096,837,677,567,475,422,387,349,313,271,221,177,135,107,82,63,48,41,35,27,20,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,25028,16884,5568,10,8144,2576,809,291,144,68,35,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,18735,13557,3844,28,5178,1334,439,202,149,128,119,112,107,107,107,107,107,107,105,99,92,81,69,59,48,41,35,27,20,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13515,10161,2611,5,3354,743,169,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9323,7314,1636,5,2009,373,84,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6102,4850,973,6,1252,279,77,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3839,3114,604,5,725,121,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
